sample_id	run_aggregate	run_annotate	run_denovo	run_fetch	run_score
1	NaN	572.03	488.73	NaN	6.57
2	NaN	864.5	386.42	NaN	4.13
3	1531.56	724.24	605.76	910.59	10.5
4	606.91	481.04	518.03	1231.88	6.38
5	509.41	152.15	649.92	1029.77	6.79
6	503.07	275.58	610.29	1259.91	7.19
7	541.6	438.93	640.56	1095.42	6.86
8	608.93	410.13	600.3	1333.71	7.33
9	441.24	111.38	383.47	1168.26	5.25
10	304.07	385.35	585.89	782.78	5.08
11	581.26	328.89	529.7	1213.69	6.11
12	520.69	447.91	629.56	878.01	5.74
13	428.61	433.49	578.06	1105.32	5.64
14	395.71	430.27	1780.44	932.04	5.49
15	18.57	481.89	367.01	1292.11	17.06
16	429.78	420.27	735.39	441.45	6.92
17	694.63	455.35	846.78	875.15	7.04
18	796.65	643.88	354.38	891	6.65
19	294.97	427.92	520.68	850.23	4.94
20	440.8	267.03	575.62	1228.39	5.37
21	385.43	76.66	770.57	1289.68	6.42
22	559.22	88.1	744.65	1497.5	5.93
23	671.34	117.98	528.7	1695.48	6.83
24	610.43	406.9	613.25	579.61	5.86
25	574.47	102.35	655.66	1246.56	6.06
26	266.83	544.97	570.6	1079.59	5.13
27	331.71	90.46	520.62	955.49	6.94
28	330.29	298.33	317.77	1001.26	5.95
29	467.14	463.15	447.39	1667.69	5.22
30	491.11	426.02	477.14	1011.92	5.61
31	398.29	91.5	466.92	1202.88	5.47
32	338.32	167.23	502.1	965.21	5.51
33	478.63	389.35	364.5	1361.43	5.81
34	455.95	421.72	651.36	1006.23	5.35
35	667.01	438.4	386.63	1591.42	6.15
36	658.75	99.75	532.06	943.13	6.42
37	517.48	231.67	636.96	1220.25	7.33
38	390.31	136.97	545.25	867.6	5.33
39	1482.57	148.44	464.49	1432.67	6.22
40	633.41	80.59	438.41	934.31	6.96
41	1228.04	100.35	689.06	782.75	6.1
42	1322.36	466.71	503.55	1309.37	7.32
43	676.37	111.78	611.17	1205.46	5.64
44	898.4	165.43	880.6	1175.36	6.4
45	1058.66	94.63	443.87	515.65	6.93
46	593.01	117.77	529.41	926.74	6.52
47	941.2	432.29	406.04	1030.76	6.54
48	580.77	173.88	490.81	1201.79	5.18
49	1174.23	422.8	488.51	1098.19	7.11
50	491.04	419.76	456.95	1200.26	5.31
51	722.41	291.73	542.61	1086.98	5.82
52	788.11	348.61	1181.42	1036.11	5.73
53	3658.99	447.77	1009.03	2831.77	14.82
54	24.71	496.08	622.9	760.77	13.77
55	757.92	372.09	500.56	974.54	5.65
56	549.41	184.54	588.78	1254.68	6.24
57	616.58	190.9	1813.72	1391.46	5.38
58	43.48	206.57	495.28	1003.21	63.71
59	853	118.98	518.09	1424.17	7.85
60	929.98	87.37	910.44	555.62	5.75
61	1560.76	87.47	458.41	2138.48	8.6
62	595.91	98.14	483.25	974.68	5.15
63	488.73	86.27	475.15	1052.46	5.47
64	636.7	79.9	687.5	1089.19	5.15
65	928.43	98.67	516.11	1363.44	5.9
66	891.64	590.62	447.4	913.42	5.58
67	1055.11	630.64	721.25	294.46	5.65
68	1999.55	628.83	518.82	1802.45	7.7
69	789.63	588.8	779.43	1100.77	7.12
70	1813	167.97	667.43	1240.87	8.72
71	691.43	566.38	854.76	583.13	6.72
72	876.69	403.51	644.8	754.87	6.01
73	1073.57	378.17	620.88	1270.22	5.85
74	637.85	290.31	587.72	1154.57	5.32
75	1018.04	338.35	593.37	1391.72	6.16
76	703.82	582.24	1507.7	1683.71	6.67
77	27.51	97.77	483.35	1638.57	19.93
78	566.56	93.88	507.51	1125.38	6.32
79	903.82	254.09	599.34	532.5	5.54
80	706.06	88.26	630.53	1121.8	5.54
81	2742.72	119.28	373.87	1349.54	9.22
82	537.01	103.85	648.45	781.42	6.28
83	610.87	254.3	786.54	1321.22	6.54
84	1084.43	90.09	610.68	1243.84	6.34
85	848.23	103.52	530.45	1478.34	5.75
86	621.86	109.88	510.23	1055.53	6.26
87	1020.11	118.48	699.26	739.28	7.61
88	949.52	304.93	365.67	1485.04	5.47
89	474.32	350.33	807.3	893.98	6.24
90	1121.46	379.14	830.29	1093.48	6.39
91	604.21	361.97	1038.44	1609.89	6.18
92	1381.54	352.22	218.36	1557.74	7.47
93	428.84	143.48	501.88	499.85	5.12
94	903.34	100.91	448.59	1225.24	6.98
95	768.64	156.23	535.43	1036.39	7.64
96	441.85	385.56	508.67	1293.4	5.8
97	517.06	450.41	641.46	1240.39	5.38
98	792.03	75.8	656.7	1675.46	6.37
99	1134.04	86.53	331.12	1271.33	7.83
100	525.66	165.48	476.49	755.27	5.14
101	1995.05	88.35	477.75	1074.08	7.73
102	810.07	209.64	610.96	920.3	5.9
103	737.8	378.83	609.82	714.53	6.18
104	1572.37	117.71	342.76	1188.88	7.52
105	462.18	94.67	429.33	737.49	6.28
106	803.29	93.53	789.71	638.98	5.64
107	708.54	444.09	629.21	1720.91	7.94
108	562.82	404.94	4	1239.52	5.09
109	129	98.19	436.43	3304.36	4.04
110	784.47	97.11	402.35	885.05	7
111	798.67	113.13	664.4	731.78	5.88
112	721.36	97.93	813.94	1266.8	5.24
113	1920.22	420.69	607.88	1507.43	8.04
114	1728.4	707.08	326.59	465.02	7.67
115	464.65	448.13	408.78	851.71	5.9
116	454.89	406.15	716.5	949.86	5.38
117	496.05	103.03	1112.1	1223.23	5.39
118	1129.36	161.95	532.58	495.99	9.93
119	1253.54	93.56	1179.32	1033.78	6.35
120	865.7	86.93	495.97	1178.04	7.28
121	455.96	406.6	763.65	1089.42	6.55
122	973.21	469.78	375.72	1350.53	7.07
123	605.52	435.12	664.8	655.91	5.76
124	1233.73	487.02	432.45	1319.53	6.53
125	710.94	95.72	508.32	928.81	5.39
126	753.45	111.48	468.92	1118.25	5.94
127	621.64	533.14	536.84	958.61	5.67
128	691.8	725.76	775.01	1356.55	5.96
129	1144.83	414.72	598.2	1993.87	6.44
130	898.41	365.59	356.05	1350.86	6.15
131	811.53	95.59	791.23	781.94	5.92
132	639.73	85.85	224.11	1382.33	5.96
133	696.08	87.8	466.18	1231.69	6.64
134	1764.8	88.05	517.45	1098.77	7.25
135	1092.85	163.34	699.05	815.39	6.69
136	527.54	411.53	731.88	384.88	6.6
137	1406	102.8	837.68	1006.4	9.11
138	827.27	116.85	495.75	1395.23	5.76
139	338.14	103.21	553.53	948.06	5.3
140	522.01	148.57	428.05	945	5.32
141	405.77	606.4	336.12	898.17	5.11
142	386.68	583.7	626.86	785.16	5.37
143	1807.75	533.94	606.62	1733.55	53
144	1098.7	455.33	398.21	434.24	6.97
145	1842.22	336.43	469.39	908.62	7.26
146	1258.46	96.06	473.55	1042.76	7.67
147	501.07	95.62	750.53	943.59	5.42
148	778.8	359.62	490.63	696.79	5.76
149	548.13	103.15	240.74	639.94	5.58
150	483.73	90.28	555.03	1391.27	6
151	686.99	157.23	470.67	1127.07	5.62
152	511.41	505.25	501.11	955.51	6.3
153	640.6	272.38	453.28	1140.58	5.44
154	663.1	541.28	471.86	1114.95	5.31
155	1062.18	159.81	386.8	903.58	7.75
156	858.02	450.69	531.88	846.99	5.95
157	2173.71	405.37	583.93	1057.96	8.29
158	453.02	331.19	244.62	1040.87	5.28
159	920.93	465.42	1035.18	1112.37	6.52
160	1863.55	393.32	622.46	1501.98	8.6
161	1118.55	165.21	1536.11	601.16	6.85
162	2311.86	405.87	509.15	1207.05	8.53
163	710.85	445.73	298.29	621.7	6.1
164	535.26	368.41	542.9	1429.27	5.92
165	2384.17	100.82	505.2	1436.62	8.61
166	801.21	453.07	408.5	1125.71	6.53
167	509.29	312.79	1089.41	802.8	4.82
168	1121.16	138.63	830.73	1738.79	7.87
169	778.14	386.49	701.15	1517.75	6.4
170	613.99	114.89	710.34	1510.38	6.57
171	1469.06	520.95	923.93	1408.07	7.06
172	3019.55	86.18	572.89	2257.9	17.5
173	568.76	536.78	913.39	1662.95	5.62
174	1012.99	324.24	259.75	1959.34	6.54
175	703.51	118.4	482.71	1451.21	5.47
176	438.61	106.11	819.69	1015.05	6.95
177	3316.66	100.79	492.48	1722.12	14.3
178	870.83	89.36	647.37	582.39	5.94
179	664.34	93.47	1596.27	1487.89	5.94
180	54.13	317.62	539.09	1266.48	40.75
181	507.16	125.08	674.17	1100.87	7.1
182	763.19	74.28	489.49	1093.75	5.88
183	608.02	605.77	619.18	998.37	5.61
184	415.32	560.97	409.08	1034.01	5.64
185	1363.37	353.13	550.8	760.12	6.85
186	572.78	90.95	568.61	869.47	5.36
187	970.83	555.96	628.44	937.36	5.62
188	1772.23	533.41	665.15	1148.72	7.11
189	1275.8	512.62	418.38	979.95	6.21
190	671.57	354.33	484.17	883.67	6.94
191	755.57	79.67	458.32	1079.3	5.79
192	930.15	118.62	533.56	887.3	6.19
193	1606.57	403.8	943.27	1051.83	6.93
194	1436.62	132.06	509.9	1242.23	8.57
195	1043.37	390.3	1373.71	1389.21	5.99
196	31.06	187.34	583.62	1106.89	20.11
197	1107.22	196.64	646.88	1187.69	5.71
198	785.81	101.54	501.85	1218.89	5.8
199	2030.33	147.31	746.09	1161.11	8.2
200	1204.02	198.18	579.18	1238.71	6.79
201	843.54	97.49	524.27	947.97	5.78
202	1548.12	77.86	522.47	934.85	8.03
203	1539.46	366.31	555.59	1060.38	8.55
204	774.71	130.55	527.93	906.34	5.99
205	441.95	165.47	566.96	1053.16	5.58
206	1070.1	105.94	1478.98	1358.75	5.96
207	2063.77	161.85	604.01	1519.26	11.79
208	943.92	109.25	430.43	1341.32	6.1
209	755.91	156.87	366.35	1007.4	5.62
210	1265.31	148.58	906.47	717.23	6.48
211	1422.36	104.83	661.3	1296.88	6.75
212	1081.21	69.68	626.07	1193.17	6.15
213	2030.48	206.79	756.98	1362.51	7.95
214	1004.49	213.73	574.62	1407.77	6.59
215	851.4	123.06	660.4	1188.42	7.14
216	1295.95	106.4	717.24	1097.67	8.61
217	1079.42	105.19	376.83	1092.54	6.55
218	646.01	194.04	1008.35	685.34	5.7
219	1895.15	189.33	403.9	1997.37	7.83
220	669.24	174.08	751.86	1134.17	5.46
221	1205.59	206.76	618.71	1402.22	8.82
222	489.4	88.21	298.17	407.7	5.85
223	4397.35	147.68	660.89	189.81	11.29
224	1038.34	121.55	858.14	1170.35	6.61
225	1797.13	815.21	544.19	1737.05	7.34
226	566.34	366.71	902.01	1292.68	5.74
227	3272.25	89.52	1194.67	1433.58	10.44
228	2023.35	603.91	913.09	2064.41	7.91
229	1298.29	126.16	710.74	1493.54	6.9
230	1388.94	107.68	414.83	1397.79	7.8
231	1140.06	102.06	644.77	858.04	6.56
232	1071.95	612.58	151.01	1309.57	5.65
233	823	632.32	563.82	263.28	7.09
234	704.99	635.21	874.94	1200.52	5.86
235	2828.25	619.59	592.49	1816.34	10.63
236	755.71	150.34	1000.11	1213.54	6.06
237	1387.32	273.72	499.37	1146.4	7.1
238	712.28	618.05	442.47	1425.98	5.68
239	678.2	101.81	462.13	1100.44	6
240	746.22	375.61	524.98	1157.7	6.18
241	722.72	125.57	527.28	1052.25	5.55
242	777.01	69.49	486.7	1018.64	6
243	780.7	160.06	552.41	1515.1	6.03
244	520.1	518.51	11.29	968.15	6.86
245	72.42	530.46	513.04	138.96	4.46
246	784.89	513.26	683.77	890.84	6.07
247	970.95	92.67	549.67	1093.79	5.94
248	2020.85	324.43	600.96	1157.46	9.03
249	1119.03	89.64	706.5	1285.48	8.02
250	1435.56	99.67	612.5	1402.23	7.53
251	593.92	85.71	246.12	937.95	5.49
252	721.16	150.61	445.15	597.5	5.28
253	616.86	169.74	488.82	613.26	5.36
254	953.48	85.93	485.36	889.94	6.19
255	819.83	147.29	595.23	976.38	5.73
256	567.53	531.41	649.55	629.23	6.14
257	1027.43	549.57	366.9	1534.42	6.77
258	582.08	100.57	771.97	351.16	5.25
259	2849.6	289.93	640.54	776.44	8.83
260	1200.49	301.04	502.43	1462.74	6.88
261	417.06	94.61	627.67	1040.17	6.83
262	881.34	624.45	620.26	1307.64	6.05
263	650.31	537.58	588.82	1291.3	6.1
264	566.69	246.24	585.88	959.19	6.22
265	1001.36	155.95	465.07	1097.43	6.94
266	1027.05	194.11	516.19	860.19	6.23
267	1904.07	74.44	1164.29	669.6	7.26
268	1472.63	87.73	555.49	332.6	9.58
269	821.5	160.09	481.8	1297.96	6.09
270	1608.55	338.71	666.27	329.35	7.59
271	1096.25	91.78	409.04	1318.6	7.55
272	752.47	138.61	494.69	967.67	5.36
273	1586.01	76.58	482.33	845.48	6.75
274	1205.05	156.52	487.51	802.49	5.93
275	884.98	88.89	513.66	969.17	7.46
276	615.82	176.37	400.13	919.82	5.76
277	921.9	95.92	728.47	1082.33	5.77
278	983.54	150.63	706.54	571.01	5.9
279	1048.14	147.24	567.51	741.81	7.67
280	883.98	139.97	283.08	995.66	6.65
281	582.82	381.9	645.58	564.52	5.67
282	413.04	157.7	608.62	1273.13	5.72
283	412.22	108.06	570.7	886.9	5.25
284	1029.8	157.24	633.46	658.6	5.99
285	1027.08	88.48	558.49	1304.18	6.71
286	1346.76	95.3	853.92	683.45	5.96
287	1060.89	98.81	830.15	1222.11	6.82
288	1405.43	95.21	551	1463.57	7.5
289	483.97	94.28	366.97	1087.07	5.54
290	1013.93	95.72	1821.63	453.66	6.65
291	54.05	126.41	546.77	1293.25	54.16
292	1178.58	422.26	701.25	501.8	6
293	1363.03	273.98	584.82	1385.79	6.38
294	728.17	139.89	384.76	1030.7	5.71
295	823.43	272.54	319.14	770.71	6.61
296	402.65	302.16	642.33	483.76	4.18
297	1156.26	98.96	690.59	1219.3	6.82
298	1634.62	145.98	743.43	1394.83	7.13
299	1146.88	311.55	866.69	686.68	7.05
300	1192.76	103.75	657.65	1397.03	7.35
301	1278.78	175.74	500.27	562.14	6.37
302	1160.32	176.23	685.1	1358.12	5.78
303	933.44	260.46	533.52	1420.75	7.2
304	661.54	103.95	652.66	1050.32	5.69
305	777.87	156.27	643.08	1007.27	6.27
306	1145.96	575.21	749.78	1735.41	6.14
307	1071.71	518.81	436.07	702.1	6.75
308	723.22	545.77	848.15	1130.41	5.35
309	1414.52	82.64	675.55	1861.76	6
310	576.69	396.95	571.1	616.05	5.57
311	1392.72	645.54	533.72	558.29	6.14
312	1188.15	707.23	1094.2	832.63	6.9
313	2016.43	787.14	504.82	1174.43	11.32
314	594.12	155.9	611.62	974.17	6.5
315	760.16	614.36	466.08	911.21	5.74
316	558.65	202.85	622.4	830.57	5.54
317	1152.5	789.35	751.11	1779.91	7
318	1061.22	668.81	513.79	1699.22	6.83
319	599.42	168.68	601.74	1259.34	7.01
320	1256.9	781.78	484.81	1529.5	5.88
321	1657.97	539.27	613.67	993.43	7.28
322	922.8	801.06	593.29	1182.93	6.22
323	915.13	404.07	417.03	1182.18	6.36
324	1121.82	494.3	522.98	903.21	6.81
325	865.44	448.29	698.54	919.76	7.12
326	939.11	392.56	635.53	764.45	5.23
327	1043.45	104.98	573.26	1569.9	6.31
328	839.54	100.14	584.75	1226.71	5.96
329	813.64	175.81	1328.17	1167.77	6.03
330	36.08	171.07	408.9	401.33	40.59
331	720.33	92.06	486.44	881.32	6.23
332	745.38	175.24	847.53	989.37	5.34
333	3149.84	173.15	486.98	1350.72	7.14
334	748.53	169.89	524.25	988.3	5.96
335	940.7	126.53	568.79	1060.16	5.85
336	733.29	781.53	689.54	360.58	5.25
337	1050.99	393.52	551.67	1351.82	7.57
338	1397.9	84.34	401.03	1203.5	5.79
339	740.91	100.59	348.3	911.16	5.77
340	1105.34	114.2	634.48	819.59	6.6
341	1095.09	157.48	235.21	1249.97	6.57
342	1013.59	93.11	390.68	872.13	5.99
343	1509.22	181.25	490.17	732.38	6.67
344	1940.25	292.09	550.59	1116.22	9.26
345	949.53	99.12	449.23	1252.57	6.28
346	692.48	139.41	452.51	788.75	6.09
347	759.8	106.79	340.04	1013.29	5.85
348	488.73	369.98	132.9	983.27	5.95
349	387.88	145.93	527.13	438.83	5.29
350	934.88	166.53	809.14	1030.05	6.12
351	2843.33	172.98	581.54	1492.44	8.95
352	1506.99	104.89	683.37	1318.33	7.17
353	2113.65	104.49	747.76	1260.36	9.06
354	1109.49	154.46	358.93	1179.51	5.61
355	462.88	152.97	616.83	794.86	5.26
356	1088.71	132.27	1230.64	939.78	6.52
357	37.66	163.73	603.81	1094.36	26.26
358	976.53	164.56	513.43	1133.59	6.16
359	2491.97	432.71	626.3	1418.95	8.33
360	987.02	91.37	668.42	918.41	5.88
361	919.35	136.95	582.86	1797.86	4.28
362	964.95	94.37	550.23	1247.26	5.66
363	629.56	178.31	715.76	1234.08	6.23
364	1426.06	149.8	488.4	1304.91	7.05
365	1089.7	100.22	400.37	989.18	6.63
366	541.16	105.05	382.02	687.68	5.14
367	579.55	91.44	804.02	610.11	3.74
368	1414.98	97.82	258.55	1529.82	6.84
369	725.96	90.59	604.31	865.61	5.08
370	938.01	150.16	287.78	989.69	5.64
371	765.22	266.72	267	525.56	5.57
372	914.48	302.13	807.35	1025.71	4.13
373	1811.08	107.28	246.04	1586.65	7.37
374	942.47	100.86	465.41	1105.28	5.27
375	926.3	91.08	263.56	1444.01	6.35
376	1651.39	261.92	653.99	1080.79	7.21
377	965.52	230.5	753.02	1115.4	7.94
378	1168.24	132.66	743.86	1298	6.4
379	596.89	180.91	1021.27	1374.51	6.04
380	1202.31	397.57	576.54	872.07	6.94
381	938.71	120.49	438.03	1090.43	6.03
382	1306.36	154.07	767.72	901.21	6.21
383	865.14	170.54	483.5	1452.34	5.76
384	1590.5	137.76	635.85	952.26	7.04
385	1050.9	278.18	608.6	1437.28	5.72
386	857.03	147.2	580.69	1210.13	6.3
387	825.97	119.88	1337.28	1021.17	5.92
388	30.47	85.4	628.59	1336.67	13.98
389	595.76	192	362.81	1113.16	5.59
390	1630.85	165.81	648.86	1857	8.16
391	1264.87	113.96	312.91	1280.86	6.69
392	1162.48	373.39	726.57	1130.94	6.71
393	2544.32	85.78	158.5	1719.68	11.34
394	515.14	115.07	585.09	619.37	5.7
395	863.44	143.78	288	938.3	6.1
396	1367.16	143.08	530.16	864.88	7.47
397	886.03	219.33	764.28	1308.88	5.06
398	1184.7	113.12	703.94	748.64	5.89
399	964.27	170.85	406.97	1687.96	6
400	629.07	110.56	355.81	783.04	5.32
401	1063.88	336.29	698.72	1145.35	6.54
402	2104.28	446.42	658.69	718.65	8.29
403	903.68	423.45	520.7	1199.2	6.11
404	1886.68	319.87	225.97	1265.53	7.49
405	1345.52	270.87	813.07	1015.6	8.31
406	1638.72	296.93	229.37	1507.24	6.96
407	678.31	97.05	603.47	480.71	6.14
408	2084.39	160.82	497.54	488.15	6.87
409	1411.44	106.46	705.62	1158.83	8.15
410	817.45	154.79	617.89	1734.43	6.07
411	856.39	249.86	432.7	895.88	6.03
412	546.27	151.5	800.9	472.79	4.89
413	1170.18	90.18	455.79	2167.34	6.33
414	569.3	400.15	445.59	895.29	5.87
415	2196.38	571.37	814.14	1246.49	9.3
416	2862.09	87.02	418.36	1900.42	9.46
417	1442.18	433.7	454.61	785.68	6.46
418	1690.14	117.99	502.87	1050.71	7.1
419	1081.98	78.72	324	1139.65	7.41
420	757.98	116.06	591.41	501.74	6.16
421	493.34	122.07	210.76	1023.65	5.3
422	673.87	274.71	431.72	858.91	5.91
423	883.03	149.22	408.71	1274.12	6.43
424	510.64	151.21	449.71	598.32	5
425	1101.26	145.93	365.85	769.95	6.13
426	1152.02	136.92	690.31	720.94	5.8
427	1113.88	78.54	271.9	763.49	6.37
428	1236.33	154.16	640.27	1373.13	6.05
429	1202.97	63.05	751.61	1239.76	7.18
430	1114.55	132.44	687.63	1555.08	6.14
431	1093.19	99.57	511.19	1332.21	6.23
432	1385.43	85.9	750.63	1104.33	8.33
433	2701.21	84.93	1072.71	1166.16	8.6
434	972.94	86.1	598.24	970.1	8.58
435	654.04	100.4	427.69	1249.5	6.77
436	1082.33	92.07	1270.74	1177.51	6.34
437	1599.68	163.7	584.19	1007.76	8.6
438	727.53	85.53	705.44	1321.06	5.18
439	667.36	91.62	507.47	2041.85	5.91
440	611.4	99.63	480.3	894.55	6.75
441	573.49	81.67	534.14	1044.51	5.27
442	964.16	114.98	536.68	410.9	6.52
443	1024.67	260.41	454.89	532.1	6.64
444	1330.23	159.09	399.28	1031.94	7.1
445	461.29	133.77	314.61	734.16	4.8
446	1081.08	94.14	729.76	2114.77	7.64
447	688.02	591.56	310.14	1990.31	5.18
448	430.25	106.2	620.26	1543.93	5.32
449	693.03	88.06	202.61	1271.74	3.78
450	1920.72	369.44	580.39	872.53	4.2
451	392.27	342.61	547.47	1244	6.46
452	482.5	195.34	499.3	1128.28	5.44
453	589.09	132.42	572.5	983.26	5.37
454	778.21	326.48	511.21	1365.25	5.36
455	969.02	443.05	455.38	715.55	5.97
456	547.56	649	386.34	1011.91	5.22
457	593.64	532.4	250.95	971.62	5.49
458	805.95	66.65	433.85	1315.54	7
459	609.39	363.04	191.91	1073.39	5.21
460	666.42	105.18	299.41	842.33	5.14
461	914.29	94.44	590.37	387.15	6.91
462	1115.79	97.87	365.35	1147.03	6.39
463	776.57	200.83	594.44	1065.58	5.99
464	734.35	68.42	581.76	1092.03	4.05
465	945.24	545.18	513.29	1130.01	4.95
466	991.23	219.33	617.53	1123.78	7.43
467	1700.07	105.96	651.71	1360.94	7.63
468	961.31	120.74	1110.91	984.71	5.9
469	38.02	86.77	538.38	1106.45	48.51
470	809.15	437.64	591.35	964.54	7.8
471	750.09	158.11	428.4	952.46	6.93
472	597	83.42	566.23	944.95	6.85
473	569.76	128.28	377.87	1105.94	5.31
474	587.05	86.72	869.32	684.98	4.72
475	975.7	215.04	435.72	1758.36	6.04
476	531.42	592.46	862.99	941.32	5.11
477	3600.23	116.66	851.56	1905.53	6.32
478	1504.39	223.8	248.07	1577.62	6.33
479	556.6	500.39	676.01	1145.03	6.02
480	862.2	742.53	331.1	1054.95	5.74
481	1763.94	375.93	753.84	222.94	5.91
482	1380.7	72.27	479.65	1137.78	6.47
483	1516.99	574.39	1137.34	624.29	7.78
484	1686.47	363.98	700.06	1053.79	9.01
485	1084.86	467.71	645.37	1411.93	6.15
486	1300.22	357.53	1231.28	1522.83	6.97
487	30.59	131.72	388.21	1169.36	13.33
488	1284.07	163	800.03	896.2	5.88
489	1053.03	163.81	303.27	1250.41	6.26
490	701.76	78.41	331.24	549.45	5.79
491	1137.7	180.63	471.24	1078.82	7.1
492	741.09	437.12	640.8	485.65	6.14
493	669.33	199.44	920.84	1736.69	5.28
494	2028.49	452.24	2033.37	1396.12	5.04
495	69.99	632.34	467.99	1421.16	44.16
496	639.01	97.25	433.32	984.21	5.2
497	544.03	95.19	599.76	1075.44	5.11
498	2879.89	92.53	469.28	1997.49	9.75
499	1415.44	696.17	279.31	413.98	6.23
500	1274.43	307.84	427.09	1120.21	7.91
501	1656.54	460.43	628.95	1003.16	7.64
502	1266.15	102.97	642.52	976.03	7.07
503	642.98	103.83	475.36	1227.16	7.71
504	681.98	114.78	642.78	831.98	5.41
505	804.68	360.11	432.06	1386.15	6.29
506	716.27	99.61	451.24	960.94	5.49
507	663.43	173.98	661.81	801.77	5.29
508	2054.05	364.76	1719.58	1469.5	8.45
509	2576.4	171.99	672.65	1964.08	9.37
510	1024.56	167.69	1089.91	1373.22	6.31
511	1489.1	95.63	610.87	1170.13	9.53
512	1394.93	154.28	286.05	1150	6.76
513	884.81	87.31	617.28	957.14	6.51
514	1670.14	300.22	344.58	1204.1	6.84
515	1065.25	157.54	402.25	1265.53	5.92
516	639.05	516.09	2033.01	1111.25	7.18
517	60.4	172.35	527.97	1474.21	41.47
518	949.94	431.56	503.94	1096.5	6.19
519	1171.3	368.41	758.37	1101.18	6.3
520	1037.71	314.98	678.79	1278.94	6.06
521	1043.61	98.57	296.66	1274.05	7.91
522	1110.23	88.78	621.6	862.36	6.22
523	1544.98	410.96	461.22	1273.63	6.54
524	848.92	344.04	672.56	1178.29	5.66
525	3476.62	120.66	474.13	1346.93	10.49
526	892.91	100.23	484.28	758.9	7.49
527	2038	137.3	1251.97	1188.66	7.58
528	28.36	284.71	1084.8	1185.37	11.2
529	1762.46	112.33	459.52	696.63	9.82
530	1932.58	95.43	722.57	1071.62	8.17
531	1079.73	262.08	465.36	1250.51	6.57
532	818.71	422.72	1622.48	653.83	5.52
533	44.87	398.33	622.42	1526.29	29.39
534	1245.49	279	452.98	740.04	6.13
535	531.81	120.98	352.47	1133.14	3.11
536	1032.64	153.92	743.39	1521.33	8.35
537	2562.44	93.37	577.66	1585.76	9.75
538	898.7	422.18	501.84	1292.31	4.41
539	1273.78	332.05	588.85	945.08	6.32
540	784.56	220.99	324.9	1027.75	4.33
541	996.58	261.32	503.27	1014.69	6.89
542	665.22	851.66	472.27	882.31	6.96
543	771.02	695.55	632.44	1058.99	6.18
544	2126.77	402.02	987.48	1997.61	6.48
545	3929.85	225.97	527.48	2220.57	32.9
546	1146.57	390.67	808.69	1054.04	2.94
547	949.76	102.44	713.25	1519.04	4.22
548	1155.55	710.51	736.48	1333.81	6.78
549	1008.38	687.6	423.93	1138.63	5.87
550	505.87	221.79	371.2	867.88	6.63
551	1336.61	252.84	680.15	1140.86	4.88
552	967.02	164	533.67	1201.74	6.41
553	989.36	221.13	710.34	1258.84	6.05
554	1856.38	304.07	562.3	1168.6	7.52
555	538.89	314.59	597.71	1053.34	4.44
556	1011.92	575.14	671.25	1124.79	5.43
557	984.95	730.64	457.69	1034.02	8.02
558	1180.96	756.58	629.04	1418.31	6.85
559	1664.03	301.73	716.02	1377	9.26
560	939.24	688.85	936.72	1324.46	4.72
561	2452.09	198.23	296.49	1066.4	9.23
562	1540.97	339.14	646.32	1628.66	6.69
563	1825.11	802.05	483.7	1364.28	5.95
564	505.46	854.46	672.9	897.81	5.34
565	1230.53	952.2	808.29	1366.94	8.33
566	1780.93	952.54	557.96	1351.41	6.33
567	1572.95	290.58	548.17	1006.49	6.91
568	992.45	302.85	979.25	1084.32	5.78
569	1611.47	202.18	282.66	947.56	8.12
570	1076.2	163.31	420.43	660.4	6.03
571	849.8	271.65	598.49	1243.64	3.45
572	806.13	236.45	747.98	1594.68	3.62
573	1410.14	283.52	420.24	1908.22	5.98
574	3108.07	171.93	297.73	1584.16	8.87
575	1533.1	306.33	515.39	1137.89	8.91
576	1535.85	221.41	486.68	1269.88	5.56
577	1924.06	340.24	411.77	1335.08	7.22
578	1357.49	385.28	682.48	817.55	6.56
579	863.63	170.37	420.59	1074.31	5.63
580	2194.41	244.85	660.77	1217.7	8.06
581	1695.59	103.89	1139.11	1476.78	5.88
582	33.58	406.01	1354.88	890.14	22.9
583	38.29	327.31	686.99	508.34	14.65
584	1150.83	209.83	624.39	1715.15	4.48
585	686.32	211.26	624.35	1455.26	5.57
586	1909.36	356.93	264.04	1292.22	8.29
587	673.45	352.52	825.77	298.64	5.17
588	992.42	369.89	748.47	1431.3	7.95
589	2900.05	512.29	665.84	1336.56	9.66
590	1015.38	292.95	611.36	1059.75	4.95
591	2405.34	180.56	666.62	1459.94	8.49
