sample_id	run_aggregate	run_annotate	run_denovo	run_fetch	run_score
1	NaN	1784	175.27	NaN	47.5
2	NaN	1630	173.06	NaN	23
3	1805.32	1783	176.42	162.96	57
4	610.04	1674	165.98	140.93	51
5	533.85	1563	172.38	147.35	51
6	546.33	1527	174.91	131.93	50
7	557.74	1459	168.07	144.25	67
8	697.58	1421	173.79	168.04	54
9	463.76	1740	172.8	147.11	67
10	382.88	1375	167.73	163.29	NaN
11	561.2	1130	169.92	172.64	NaN
12	435.22	1487	174.52	173.93	89
13	650.85	1462	172.39	161.75	72
14	533.9	1448	169.2	155.97	44
15	33.5	1582	172.48	169.97	96
16	425.54	1438	168.34	153.05	72
17	934.75	1484	179.5	160.32	70
18	686.22	1722	171.7	158.51	86
19	367	1457	187.68	140.3	2
20	444.44	1478	170.4	147.33	88
21	451.29	1490	183	163.6	72
22	675.12	1539	174.35	141.2	70
23	640	1815	172.07	165.05	74
24	607.4	1432	168.63	165.67	89
25	476.32	1623	171.45	173.45	72
26	499.8	1652	173.72	141.84	59
27	768.25	1657	172.31	146.19	66
28	486.5	1490	181.48	163.53	76
29	591.56	1418	175.8	159.09	119
30	793.24	1432	173.38	184.38	119
31	535.13	1611	171.49	169.66	85
32	532.89	1407	171.9	153.25	77
33	501.39	1386	172.19	162.93	72
34	969.06	1436	171.47	157.97	103
35	676.26	1453	175.67	152.84	86
36	1027.35	1671	172.07	165	75
37	1196.29	1761	174.47	157.6	70
38	494.33	1321	172.88	170.6	70
39	778.36	1503	167.68	165.52	90
40	442.57	1431	170.3	157.29	52
41	1258.7	1637	174.35	165.02	78
42	600.78	1508	178.92	161.97	111
43	555.74	1724	177.61	153.85	89
44	704.53	1687	182.66	164.82	78
45	627.71	1772	174.09	170.56	67
46	581.79	1469	174.85	155.4	67
47	1958.81	1467	170.62	166.21	66
48	412.6	1651	170.38	171.96	78
49	1097.04	1462	173.54	187.6	73
50	445.23	1432	173.51	170.3	84
51	673.75	1130	169.38	144.14	75
52	437.76	1483	182.72	168.55	69
53	3212.62	1472	174.31	166.98	108.5
54	70	1477	170.65	159.56	76
55	672.16	1398	168.84	164.83	83
56	602.46	1730	171.3	146.67	70
57	712.23	1695	185.64	150.87	73
58	570	1737	179.95	170.52	168.33
59	655.25	1713	172.29	149.49	78
60	604.43	1579	170.04	162.36	87
61	972.25	1143	177.11	145.02	69
62	459.22	1271	171.42	163.03	92
63	574.97	1504	180.69	174.49	93
64	552.83	1510	175.94	167.83	69
65	645.91	1498	176.12	146.44	89
66	619.24	1380	171.47	148.15	77
67	1590.33	1418	173.78	164.5	2
68	1842.69	1402	182.69	168.35	126
69	746.14	1426	176.57	172.52	72
70	617.49	1677	176.23	169.11	72
71	637.58	1400	176.86	144.87	73
72	714.18	1491	171.47	146.24	89
73	791.29	1408	169.13	160.38	75
74	579.8	1588	172.55	139.17	97
